report_date,country,region,tier,rank,game,provider,source_report
2026-02-27,Argentina,LATAM,Tier 2,1,Gates of Olympus 1000,Pragmatic Play,Tier2_Top15_27_02_Blask_iGamingNews.pdf
2026-02-27,Argentina,LATAM,Tier 2,2,Gates of Olympus,Pragmatic Play,Tier2_Top15_27_02_Blask_iGamingNews.pdf
2026-02-27,Argentina,LATAM,Tier 2,3,Sugar Rush 1000,Pragmatic Play,Tier2_Top15_27_02_Blask_iGamingNews.pdf
2026-02-27,Argentina,LATAM,Tier 2,4,Sugar Rush,Pragmatic Play,Tier2_Top15_27_02_Blask_iGamingNews.pdf
2026-02-27,Argentina,LATAM,Tier 2,5,Big Bass Splash,Reel Kingdom,Tier2_Top15_27_02_Blask_iGamingNews.pdf
2026-02-27,Argentina,LATAM,Tier 2,6,Sweet Bonanza,Pragmatic Play,Tier2_Top15_27_02_Blask_iGamingNews.pdf
2026-02-27,Argentina,LATAM,Tier 2,7,Sweet Bonanza 1000,Pragmatic Play,Tier2_Top15_27_02_Blask_iGamingNews.pdf
2026-02-27,Argentina,LATAM,Tier 2,8,Zeus vs Hades Gods of War,Pragmatic Play,Tier2_Top15_27_02_Blask_iGamingNews.pdf
2026-02-27,Argentina,LATAM,Tier 2,9,The Dog House Megaways,Pragmatic Play,Tier2_Top15_27_02_Blask_iGamingNews.pdf
2026-02-27,Argentina,LATAM,Tier 2,10,Gates of Olympus Super Scatter,Pragmatic Play,Tier2_Top15_27_02_Blask_iGamingNews.pdf
2026-02-27,Argentina,LATAM,Tier 2,11,Buffalo King Megaways,Pragmatic Play,Tier2_Top15_27_02_Blask_iGamingNews.pdf
2026-02-27,Argentina,LATAM,Tier 2,12,Live Speed Roulette,Amusnet,Tier2_Top15_27_02_Blask_iGamingNews.pdf
2026-02-27,Argentina,LATAM,Tier 2,13,Blackjack MH,Play’n GO,Tier2_Top15_27_02_Blask_iGamingNews.pdf
2026-02-27,Argentina,LATAM,Tier 2,14,Sweet Rush Bonanza,Pragmatic Play,Tier2_Top15_27_02_Blask_iGamingNews.pdf
2026-02-27,Argentina,LATAM,Tier 2,15,Aviator,Spribe,Tier2_Top15_27_02_Blask_iGamingNews.pdf
